User,Message,Sentiment
สุพัตรา น.,แพคมาให้ไม่ดีฝาหลุดเลอะเทอะหมดเลย ผิดหวังจริงๆค่ะ,Neutrally
Jan S.,ตรงที่เป็นผ้ามันไม่ค่อยกายดำอ่ะค่ะ​,Neutrally
Somchai,แค่พอใช้ครับไม่สะอาดจนหมดครับ,Neutrally
จ***.,ก็ไม่ได้ขาวขึ้นเท่าไหร่นะ ยังมีส่วนที่เหลือง ส่วนที่ดำหลงเหลืออยู่ แค่ตรงยางสะอาดขึ้นหน่อย และน้ำยาก็ออกยาก ไม่เป็นฟองฟู่ใหญ่ก้อนเหมิอนในรูป เป็นฟองออกมาหน่อยๆพอไหลๆ กดยากอยู่,Neutrally
นายอนุชา ก.,ต้องใช้แรงในการขัด,Neutrally
Woratouch K.,ฝากแพ็คมาปิดไม่สนิททำให้เป็นคราบเต็มเลย,Neutrally
สุนัย พ.,วัสดุ:ไม่ได้ผลอย่างโฆษณา,Neutrally
เอ็ม,เหมือนเอาน้ำล้างธรรมดา,Neutrally
อภิญญา,ไม่ค่อยออกเท่าไหร่,Neutrally
B***.,เกือบสะอาดนะคะ แต่ก็ถือว่า พอใช้งานได้ค่ะ,Neutrally
อรัญญา ช.,สั่งไป 2 ขวด มีอยู่ขวด แกะพัสดุมา ฝาไม่ได้ปิด ลอง)ฉีด ก็ไม่เป็นโฟม  เป็น้ำ ลองเขย่า ก็มีน้ำ กระเด็น ออกมา แต่อีกขวด โอเค,Neutrally
*******671,"ไม่ค่อยสะอาดต้องเช็ดหลายรอบ

ราคาถูก",Neutrally
apisak S.,สมราคาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาา,Neutrally
8***3,ลองใช้กับรองเท้าผ้าใบนันยางสีขาว ก็ไม่ขาวขึ้นเท่าที่ควร ยังกระดำกระด่าง ขาวขึ้นแค่นิดหน่อย,Neutrally
นายชัยณรงค์ ก.,ฝาเปิดมาแล้ว มีคราบละอองน้ำที่ฝาครอบ,Neutrally
Mongkol A.,ลองใช้แล้ว ก็ไม่ได้ผลที่ต้องการเท่าที่ควร,Neutrally
Geng C.,ช้าไปหน่อย,Neutrally
ศิรภัค ป.,ไว้ซักแห้งอย่างเดียว,Neutrally
S***.,ขัดแล้วเหมือนจะทิ้งคราบเหลืองไว้,Neutrally
C***.,"กำจัดแบคทีเรียและกลิ่นไม่พึงประสงค์, ป้องกันรองเท้าจากแสงแดดเอียง, ไม่ต้องกังวลเรื่องรองเท้าสกปรกอีกต่อไป!, กำจัดแบคทีเรียและกลิ่นไม่พึงประสงค์,",Neutrally
w***.,สินค้าเสียเป็นน้ำ ไม่เป็นฟอง,Neutrally
ก***.,คาดหวังว่่จะดีกว่านี้,Neutrally
น***.,"ได้รับสินค้าตามกำหนดเวลาที่แจ้งไว้ ได้รับสินค้าครบถูกต้องตรงตามที่สั่งซื้อ สินค้าได้ขนาดตามรุ่นที่แจ้ง มาตราฐานตามราคาใช้ง่ายและสะดวก,",Neutrally
สุทิน แ.,ไม่ออกเลยคราบสกปรก. ของได้รับไว,Neutrally
9***2,ทำความสะอาดดี...แต่ยังมีคราบอยู่,Neutrally
ย***ก,ปานกลาง,Neutrally
อ***ม,พอไช้,Neutrally
Snikie,เฉยๆ,Neutrally
Ta N.,ดี,Neutrally
T***.,ดี,Neutrally
ธรรมดา บ.,เช็ดไม่ค่อยได้ผล,Neutrally
